date,netPnl,slippage,commission,turnover,tradeCount,tradingPnl,positionPnl,totalPnl,balance,return,retWithoutFee,highlevel,drawdown,ddPercent
2015-07-29,-9039.600000000006,0.0,0.0,0.0,0,0.0,-9039.600000000006,-9039.600000000006,10513.078799999974,-9.039600000000005,-9.039600000000005,60439.808999999994,-49926.73020000002,-82.60570479301154
2015-07-30,9050.399999999994,0.0,0.0,0.0,0,0.0,9050.399999999994,9050.399999999994,19563.478799999968,9.050399999999994,9.050399999999994,60439.808999999994,-40876.330200000026,-67.63146819342204
2015-07-31,-2138.399999999995,0.0,0.0,0.0,0,0.0,-2138.399999999995,-2138.399999999995,17425.078799999974,-2.138399999999995,-2.138399999999995,60439.808999999994,-43014.73020000002,-71.16953364296704
2015-08-03,2980.8000000000147,0.0,0.0,0.0,0,0.0,2980.8000000000147,2980.8000000000147,20405.878799999988,2.9808000000000145,2.9808000000000145,60439.808999999994,-40033.9302,-66.23768483451032
2015-08-04,-11768.3334,0.27,104.0634,208126.8,1,-896.3999999999951,-10767.600000000006,-11664.0,8637.545399999988,-11.7683334,-11.664,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-07,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-13,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-14,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8637.545399999988,0.0,0.0,60439.808999999994,-51802.263600000006,-85.70884729301513
2015-08-18,1159.8807999999906,0.26,98.25919999999999,196518.4,1,1258.3999999999905,0.0,1258.3999999999905,9797.426199999978,1.1598807999999905,1.2583999999999906,60439.808999999994,-50642.382800000014,-83.78977967981338
2015-08-19,3733.6000000000095,0.0,0.0,0.0,0,0.0,3733.6000000000095,3733.6000000000095,13531.026199999988,3.7336000000000094,3.7336000000000094,60439.808999999994,-46908.78280000001,-77.61239417550114
2015-08-20,4274.3999999999905,0.0,0.0,0.0,0,0.0,4274.3999999999905,4274.3999999999905,17805.42619999998,4.27439999999999,4.27439999999999,60439.808999999994,-42634.382800000014,-70.54023416917154
2015-08-21,6853.6000000000095,0.0,0.0,0.0,0,0.0,6853.6000000000095,6853.6000000000095,24659.02619999999,6.853600000000009,6.853600000000009,60439.808999999994,-35780.7828,-59.20068807629754
2015-08-24,17524.0,0.0,0.0,0.0,0,0.0,17524.0,17524.0,42183.02619999999,17.524,17.524,60439.808999999994,-18256.7828,-30.206552770542345
2015-08-25,16151.199999999995,0.0,0.0,0.0,0,0.0,16151.199999999995,16151.199999999995,58334.22619999999,16.151199999999996,16.151199999999996,60439.808999999994,-2105.5828000000038,-3.4837681237543356
2015-08-26,3744.0,0.0,0.0,0.0,0,0.0,3744.0,3744.0,62078.22619999999,3.744,3.744,62078.22619999999,0.0,0.0
2015-08-27,-14622.400000000014,0.0,0.0,0.0,0,0.0,-14622.400000000014,-14622.400000000014,47455.826199999974,-14.622400000000015,-14.622400000000015,62078.22619999999,-14622.400000000016,-23.55479673805502
2015-08-28,-8195.199999999995,0.0,0.0,0.0,0,0.0,-8195.199999999995,-8195.199999999995,39260.62619999998,-8.195199999999994,-8.195199999999994,62078.22619999999,-22817.600000000013,-36.75620486720675
2015-08-31,6146.400000000014,0.0,0.0,0.0,0,0.0,6146.400000000014,6146.400000000014,45407.02619999999,6.146400000000014,6.146400000000014,62078.22619999999,-16671.199999999997,-26.855148770342925
2015-09-01,3702.3999999999905,0.0,0.0,0.0,0,0.0,3702.3999999999905,3702.3999999999905,49109.42619999999,3.7023999999999906,3.7023999999999906,62078.22619999999,-12968.800000000003,-20.891060833822607
2015-09-02,-7850.918400000005,0.26,81.85840000000002,163716.80000000002,1,-9495.199999999995,1726.3999999999905,-7768.800000000005,41258.507799999985,-7.850918400000005,-7.768800000000005,62078.22619999999,-20819.718400000005,-33.53787579710196
2015-09-07,-8138.559000000011,0.305,98.45400000000001,196908.0,1,-8039.800000000011,0.0,-8039.800000000011,33119.94879999997,-8.138559000000011,-8.03980000000001,62078.22619999999,-28958.27740000002,-46.64804259500576
2015-09-08,14749.80000000001,0.0,0.0,0.0,0,0.0,14749.80000000001,14749.80000000001,47869.74879999999,14.74980000000001,14.74980000000001,62078.22619999999,-14208.477400000003,-22.88802092093283
2015-09-09,-597.8000000000111,0.0,0.0,0.0,0,0.0,-597.8000000000111,-597.8000000000111,47271.94879999998,-0.5978000000000111,-0.5978000000000111,62078.22619999999,-14806.277400000014,-23.850999466863016
2015-09-10,-1927.5999999999945,0.0,0.0,0.0,0,0.0,-1927.5999999999945,-1927.5999999999945,45344.348799999985,-1.9275999999999944,-1.9275999999999944,62078.22619999999,-16733.877400000005,-26.95611396190313
2015-09-11,902.8000000000111,0.0,0.0,0.0,0,0.0,902.8000000000111,902.8000000000111,46247.148799999995,0.9028000000000111,0.9028000000000111,62078.22619999999,-15831.077399999995,-25.501819831314698
2015-09-14,-8021.519000000015,0.62,195.69899999999998,391398.0,2,3203.5999999999945,-11028.80000000001,-7825.200000000015,38225.62979999998,-8.021519000000016,-7.825200000000016,62078.22619999999,-23852.59640000001,-38.42345031437128
2015-09-15,-730.7999999999943,0.0,0.0,0.0,0,0.0,-730.7999999999943,-730.7999999999943,37494.829799999985,-0.7307999999999942,-0.7307999999999942,62078.22619999999,-24583.396400000005,-39.600674672627825
2015-09-16,-8911.098000000013,0.315,103.383,206766.0,1,1436.4000000000115,-10243.800000000023,-8807.400000000012,28583.731799999972,-8.911098000000013,-8.807400000000012,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-22,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-23,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-28,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-29,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-09-30,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28583.731799999972,0.0,0.0,62078.22619999999,-33494.49440000002,-53.95530196383096
2015-10-08,-2368.690999999989,0.305,99.186,198372.0,1,-2269.199999999989,0.0,-2269.199999999989,26215.040799999984,-2.368690999999989,-2.269199999999989,62078.22619999999,-35863.1854,-57.77095705740381
2015-10-09,5807.199999999989,0.0,0.0,0.0,0,0.0,5807.199999999989,5807.199999999989,32022.240799999974,5.807199999999989,5.807199999999989,62078.22619999999,-30055.985400000016,-48.41630832551079
2015-10-12,6771.0,0.0,0.0,0.0,0,0.0,6771.0,6771.0,38793.24079999997,6.771,6.771,62078.22619999999,-23284.98540000002,-37.50910234609768
2015-10-13,-378.1999999999889,0.0,0.0,0.0,0,0.0,-378.1999999999889,-378.1999999999889,38415.04079999998,-0.3781999999999889,-0.3781999999999889,62078.22619999999,-23663.18540000001,-38.11833367107389
2015-10-14,-2305.800000000011,0.0,0.0,0.0,0,0.0,-2305.800000000011,-2305.800000000011,36109.24079999997,-2.305800000000011,-2.305800000000011,62078.22619999999,-25968.98540000002,-41.83267949109026
2015-10-15,7124.800000000011,0.0,0.0,0.0,0,0.0,7124.800000000011,7124.800000000011,43234.04079999998,7.124800000000011,7.124800000000011,62078.22619999999,-18844.18540000001,-30.35554743347356
2015-10-16,-3489.2000000000166,0.0,0.0,0.0,0,0.0,-3489.2000000000166,-3489.2000000000166,39744.84079999996,-3.4892000000000167,-3.4892000000000167,62078.22619999999,-22333.38540000003,-35.976197721963956
2015-10-19,-3367.199999999989,0.0,0.0,0.0,0,0.0,-3367.199999999989,-3367.199999999989,36377.64079999997,-3.367199999999989,-3.367199999999989,62078.22619999999,-25700.585400000018,-41.40032177659101
2015-10-20,5197.199999999989,0.0,0.0,0.0,0,0.0,5197.199999999989,5197.199999999989,41574.84079999996,5.197199999999989,5.197199999999989,62078.22619999999,-20503.38540000003,-33.02830421401446
2015-10-21,-7551.799999999983,0.0,0.0,0.0,0,0.0,-7551.799999999983,-7551.799999999983,34023.04079999998,-7.551799999999983,-7.551799999999983,62078.22619999999,-28055.18540000001,-45.19327809015267
2015-10-22,3794.199999999989,0.0,0.0,0.0,0,0.0,3794.199999999989,3794.199999999989,37817.24079999997,3.794199999999989,3.794199999999989,62078.22619999999,-24260.98540000002,-39.08131221700407
2015-10-23,4379.800000000011,0.0,0.0,0.0,0,0.0,4379.800000000011,4379.800000000011,42197.04079999998,4.379800000000011,4.379800000000011,62078.22619999999,-19881.18540000001,-32.02602042131161
2015-10-26,-402.6000000000222,0.0,0.0,0.0,0,0.0,-402.6000000000222,-402.6000000000222,41794.44079999996,-0.4026000000000222,-0.4026000000000222,62078.22619999999,-20283.78540000003,-32.67455699306053
